Approach,Revenue ($/h),Rev. loss ($/h),Min margin (%),SG_C1 margin (%),LPG_C2 margin (%),LPG_C5 margin (%),NG_RVP margin (%),DWSIM evals,Time (s)
SLSQP (original),663.85,0.0,-0.0,4.68,0.0,99.72,-0.0,32,218.1
Back-off 1%,663.76,0.09,1.0,4.67,1.0,99.72,1.01,14,87.3
Back-off 2%,663.66,0.19,2.02,4.66,2.02,99.71,2.02,14,88.2
Back-off 3%,663.56,0.29,3.04,4.65,3.04,99.7,3.05,14,90.1
Penalised α=0.01,651.17,12.68,3.57,3.57,41.36,33.74,33.73,98,618.0
Penalised α=0.05,651.51,12.34,3.61,3.61,36.42,33.76,33.74,108,649.0
Penalised α=0.10,651.5,12.35,3.61,3.61,36.6,33.83,33.74,108,596.4
Two-stage 99.5%,660.53,3.32,4.4,4.4,27.69,39.65,33.55,56,415.9
Two-stage 99.0%,657.89,5.96,4.16,4.16,33.7,39.59,33.46,112,849.6
Two-stage 95.0%,656.46,7.39,4.03,4.03,36.53,35.97,33.67,96,785.9
